time,pdr,latency,vehicle_count
100,0.0,20,4
200,9.523809523809524,20,7
300,40.0,20,10
400,59.09090909090909,20,12
500,67.71653543307087,20,15
600,69.27083333333334,20,17
700,77.64227642276423,20,20
800,86.22950819672131,20,21
900,97.70992366412213,20,23
1000,107.95698924731182,20,25
1100,115.86715867158672,20,27
1200,125.30487804878048,20,30
1300,126.72872340425532,20,34
1400,133.0607476635514,20,36
1500,147.25822532402793,20,38
1600,161.16071428571428,20,40
1700,176.7123287671233,20,42
1800,200.14214641080312,20,43
1900,215.81001951854262,20,44
2000,226.57091561938958,20,46
2100,239.91370010787486,20,46
2200,246.1191787681522,20,49
2300,251.86567164179104,20,51
2400,260.6125053168864,20,53
2500,264.92626544440014,20,54
2600,270.13473053892216,20,54
2700,277.7085496711665,20,54
2800,278.9957335083689,20,54
2900,281.12737464964187,20,56
3000,286.28538079953313,20,53
3100,288.8609715242881,20,50
3200,291.9484702093398,20,47
3300,296.7280163599182,20,46
3400,297.57905138339925,20,45
3500,298.8041138483617,20,42
3600,299.4701681640175,20,38
